finding_id	selected_order	closure_id	severity	source_anchor	route	entrypoint	environment_probe	command	literal_output	exit_status	red_result	disposition	revisit_trigger	evidence_path	evidence_sha256	report_path	report_sha256	prior_disposition	correction_reason	revalidation_status	revalidation_batch
187-R2-I01-001	189	187-R2-I01	P1	Packages/dev.unity2foxglove.sdk/Editor/Manager/FoxgloveManagerEditor.cs::OnInspectorGUI multi-object guard	OWNER_MANAGER_REAL_UNITY	Unity 6000.3.14f1 isolated IMGUI container matrix	Native IMGUI Layout/Repaint multi-manager matrix	Unity 6000.3.14f1 run_editor.py matrix	I01_MATRIX_PASS; serializedAUnchanged=true; serializedBUnchanged=true; dirtyStateUnchanged=true; cleanup=true	0	NO_REPRODUCTION_CURRENT_MULTI_OBJECT_GUARD	SATISFIED_BY_ROUND4	OnInspectorGUI multi-object guard changes; rerun real Editor matrix	build\phase187-round4\r4.1-real-environment-revalidation\i-series\unity-i01-entry\project\I01_RESULTS.json	6b4ec670e3de20ec83368c54bc1bd54df79e8022a5335e942eff5405bb92904c	Plan/187_PHASE187_ROUND2_CLOSURE_REVIEW_REPORTS/187-R2-I01.md	8c5d0240b8890698bbf2ee82ffba8fbfd874fd77ba979fe37ed215e417018e6d	SATISFIED_BY_ROUND4	Inherited/confirmed terminal status retained from historical evidence pending direct audit where required	INHERITED	R4.1-CORRECTION-INHERITED
187-R2-I01-002	190	187-R2-I01	P1	Packages/dev.unity2foxglove.sdk/Editor/Shared/PublisherEncodingEditorLabels.cs::DrawPublisherOverride	real Unity IMGUI	Unity 6000.3.14f1 batchmode R41I01Probe.Run	Unity Editor actual project isolated SDK snapshot	"{   ""command"": [     ""python"",     ""-B"",     ""build/phase187-round4/r4.1-real-environment-revalidation/i-series/unity-i01-entry/run_editor.py""   ],   ""cwd"": ""D:\\BaiduSyncdisk\\Obsidian Vault\\Websocket\\00 Inbox"",   ""input"": ""See explicit argv and bound test/source files; stdin inherited."",   ""exit_status"": 0,   ""elapsed_seconds"": 34.54786038398743,   ""inputs_before"": {     ""D:\\BaiduSyncdisk\\Obsidian Vault\\Websocket\\00 Inbox\\Scripts\\unity_build\\unity_il2cpp.py"": ""7a7826b6311d53bc0336074b9d3511b4a251f3a3fe8e552d980764c2e6b500c3"",     ""D:\\BaiduSyncdisk\\Obsidian Vault\\Websocket\\00 Inbox\\Scripts\\release\\regression_checks\\test_release_tooling.py"": ""20cf8ef55a185b9fe9dcd828be683261b4884d30eeefaac0b929453b6b6e1ab2"",     ""D:\\BaiduSyncdisk\\Obsidian Vault\\Websocket\\00 Inbox\\Packages\\dev.unity2foxglove.sdk\\Runtime\\Components\\Manager\\FoxgloveManager.FoxRunTransportProviders.cs"": ""c8bc96c1aa2f715ca2cdd96a2d4f6a1ebf65c987ab2c4e98e493549e9cdd8940"",     ""D:\\BaiduSyncdisk\\Obsidian Vault\\Websocket\\00 Inbox\\Packages\\dev.unity2foxglove.sdk\\Tests\\Unit\\Manager\\FoxRunTransportSelectionCompileTests.cs"": ""5dd1f931c3535565e14abc583fbedefdf873d8b8e3a1cff95a1023c55932cf76""   },   ""inputs_unchanged"": true,   ""literal_output"": ""STDOUT:\nREAL_UNITY_COMMAND=[\""C:\\\\Program Files\\\\Unity\\\\Hub\\\\Editor\\\\6000.3.14f1\\\\Editor\\\\Unity.exe\"", \""-batchmode\"", \""-nographics\"", \""-projectPath\"", \""D:\\\\BaiduSyncdisk\\\\Obsidian Vault\\\\Websocket\\\\00 Inbox\\\\build\\\\phase187-round4\\\\r4.1-real-environment-revalidation\\\\i-series\\\\unity-i01-entry\\\\project\"", \""-executeMethod\"", \""R41I01Probe.Run\"", \""-logFile\"", \""D:\\\\BaiduSyncdisk\\\\Obsidian Vault\\\\Websocket\\\\00 Inbox\\\\build\\\\phase187-round4\\\\r4.1-real-environment-revalidation\\\\i-series\\\\unity-i01-entry\\\\unity-editor.log\""]\n[unity-log] Starting: C:\\Program Files\\Unity\\Hub\\Editor\\6000.3.14f1\\Editor\\Data\\Tools\\BuildPipeline\\bee_backend.exe --ipc --defer-dag-verification --dagfile=\""Library/Bee/1900b0aE.dag\"" --continue-on-failure --profile=\""Library/Bee/backend1.traceevents\"" ScriptAssemblies\n[build_unity_il2cpp] Elapsed 00:15; still building. Log: build\\phase187-round4\\r4.1-real-environment-revalidation\\i-series\\unity-i01-entry\\unity-editor.log\n[unity-log] [364/374    5s] Csc Library/Bee/artifacts/1900b0aE.dag/Unity.FoxgloveSDK.Editor.dll (+2 others)\n[unity-log] [           0s] Csc Library/Bee/artifacts/1900b0aE.dag/Unity.FoxgloveSDK.Editor.dll (+2 others) [CacheWrite 00000000000000000000000000000005]\n[unity-log] [367/374    0s] ILPostProcess Library/Bee/artifacts/1900b0aE.dag/post-processed/Unity.FoxgloveSDK.Editor.dll (+pdb)\n[unity-log] Processing assembly Library/Bee/artifacts/1900b0aE.dag/Unity.FoxgloveSDK.Editor.dll, with 135 defines and 285 references\n[unity-log] [370/374    0s] Csc Library/Bee/artifacts/1900b0aE.dag/R41I01Probe.dll (+2 others)\n[unity-log] [371/374    0s] ILPostProcess Library/Bee/artifacts/1900b0aE.dag/post-processed/R41I01Probe.dll (+pdb)\n[unity-log] Processing assembly Library/Bee/artifacts/1900b0aE.dag/R41I01Probe.dll, with 135 defines and 283 references\n[unity-log] DirectoryNotFoundException: Could not find a part of the path \""D:\\BaiduSyncdisk\\Obsidian Vault\\Websocket\\00 Inbox\\build\\phase187-round4\\r4.1-real-environment-revalidation\\i-series\\unity-i01-entry\\project\\Library\\PackageCache\\com.unity.collections@12999e356c23\\Unity.Collections.LowLevel.ILSupport\\Unity.Collections.LowLevel.ILSupport.dll\""\n[build_unity_il2cpp] Elapsed 00:30; still building. Log: build\\phase187-round4\\r4.1-real-environment-revalidation\\i-series\\unity-i01-entry\\unity-editor.log\n[build_unity_il2cpp] Unity exited after 00:34.\nUNITY_EDITOR_EXIT=0\n\nSTDERR:\n"",   ""output_sha256"": ""3e230ebfe866e6ab5968eb45e6d66a452a04378b29a4f0ddb1621ecaa1297b56"",   ""head"": ""3b53694bfc0bac360ca8f692b0bc3af577e81fa7"",   ""source_sha256"": ""7a7826b6311d53bc0336074b9d3511b4a251f3a3fe8e552d980764c2e6b500c3"",   ""tests_sha256"": ""20cf8ef55a185b9fe9dcd828be683261b4884d30eeefaac0b929453b6b6e1ab2"" } "	"{     ""status"": ""FAIL"",     ""error"": ""System.Exception: PASSIVE_PUBLISHER_ENCODING_NORMALIZED\r\n  at R41I01Probe.Run () [0x001d8] in D:\\BaiduSyncdisk\\Obsidian Vault\\Websocket\\00 Inbox\\build\\phase187-round4\\r4.1-real-environment-revalidation\\i-series\\unity-i01-entry\\project\\Assets\\Editor\\R41I01Probe.cs:73 "",     ""guiDraws"": 2,     ""serializedAUnchanged"": true,     ""serializedBUnchanged"": true,     ""dirtyStateUnchanged"": true,     ""cleanup"": true,     ""publisherCases"": ""-1->0;draws=2\n999->0;draws=2\n0->0;draws=2\n1->1;draws=2\n2->2;draws=2\n3->0;draws=2\n"",     ""publisherRawValuesPreserved"": false }"	0	RED: original helper clamped raw enum -1,999,3 to 0 under passive Layout/Repaint	CONFIRMED	Independent three-role review and final CI	build\phase187-round4\r4.1-real-environment-revalidation\i-series\behavioral-repair-20260912\PUBLISHER_ENCODING_TRANSACTION\VERIFICATION.txt	af937ecdba13f846dc8aa40b3883488a7dcb504ca12cfe88957d32a9820b6471	Plan/187_PHASE187_ROUND2_CLOSURE_REVIEW_REPORTS/187-R2-I01.md	8c5d0240b8890698bbf2ee82ffba8fbfd874fd77ba979fe37ed215e417018e6d	CONFIRMED	Inherited/confirmed terminal status retained from historical evidence pending direct audit where required	INHERITED	R4.1-CORRECTION-INHERITED
187-R2-I01-006	191	187-R2-I01	P1	Packages/dev.unity2foxglove.sdk/Editor/Manager/FoxgloveManagerEditor.cs::GetCachedRootCaFingerprint	OWNER_MANAGER_REAL_UNITY	Unity 6000.3.14f1 editor security inspector	Current source commit 38c894a03 plus deterministic certificate replacement probe	python -B i01-006 replacement probe	FINGERPRINT_REFRESHED_AFTER_SAME_PATH_REPLACEMENT; GREEN	0	RED_REPRODUCED_THEN_FIXED	SATISFIED_BY_ROUND4	Root CA cache implementation changes; rerun replacement probe	build\phase187-round4\r4.1-real-environment-revalidation\i-series\behavioral-repair-20260912\ROOT_CA_FINGERPRINT_TRANSACTION\VERIFICATION.txt	3e26dd9f7205ef8958b8c5e62f15918f3c148cbb4a9dcabfc6cf0b2efd9c2475	Plan/187_PHASE187_ROUND2_CLOSURE_REVIEW_REPORTS/187-R2-I01.md	8c5d0240b8890698bbf2ee82ffba8fbfd874fd77ba979fe37ed215e417018e6d	SATISFIED_BY_ROUND4	Inherited/confirmed terminal status retained from historical evidence pending direct audit where required	INHERITED	R4.1-CORRECTION-INHERITED
187-R2-I01-008	192	187-R2-I01	P1	Packages/dev.unity2foxglove.sdk/Editor/Manager/FoxgloveManagerEditor.cs::SyncEditorRootCaDistributor	OWNER_MANAGER_REAL_UNITY	Unity 6000.3.14f1 editor Root CA distributor	Deterministic static-listener synchronization harness	python -B I01-008-green.py; I01-008-controls.py	SERIALIZED_PATH_HOST_PORT_SYNC=TRUE; DISABLE_OR_MISSING_CERT_CLEARS_STALE_TUPLE=TRUE; I01_008_CONTROLS=PASS	0	RED_REPRODUCED_THEN_FIXED	SATISFIED_BY_ROUND4	Distributor synchronization changes; rerun I01-008 matrix	build\phase187-round4\r4.1-real-environment-revalidation\i-series\I01-008-transaction\VERIFICATION.txt	8ca5c20a0e27cf1d7d4270ec55da29646c1650fd95757bb9180e0ea225621fda	Plan/187_PHASE187_ROUND2_CLOSURE_REVIEW_REPORTS/187-R2-I01.md	8c5d0240b8890698bbf2ee82ffba8fbfd874fd77ba979fe37ed215e417018e6d	SATISFIED_BY_ROUND4	Inherited/confirmed terminal status retained from historical evidence pending direct audit where required	INHERITED	R4.1-CORRECTION-INHERITED
187-R2-I01-015	193	187-R2-I01	P1	Packages/dev.unity2foxglove.sdk/Editor/Manager/FoxgloveManagerEditor.Security.cs::DrawSecureWebSocketSection	OWNER_MANAGER_REAL_UNITY	Unity 6000.3.14f1 editor multi-manager distributor ownership	Deterministic process-global distributor ownership harness	python -B I01-015-green.py; I01-015-controls.py	OWNER_ENDPOINT_MATCH_REQUIRED=TRUE; MISMATCH_EXPLICIT_UNAVAILABLE=TRUE; I01_015_CONTROLS=PASS	0	RED_REPRODUCED_THEN_FIXED	SATISFIED_BY_ROUND4	Root CA URL ownership logic changes; rerun I01-015 matrix	build\phase187-round4\r4.1-real-environment-revalidation\i-series\I01-015-transaction\VERIFICATION.txt	d501905d9b605d320f40857dcb26bdd6f92899b16f043c9ef928b9f4e85da9b3	Plan/187_PHASE187_ROUND2_CLOSURE_REVIEW_REPORTS/187-R2-I01.md	8c5d0240b8890698bbf2ee82ffba8fbfd874fd77ba979fe37ed215e417018e6d	SATISFIED_BY_ROUND4	Inherited/confirmed terminal status retained from historical evidence pending direct audit where required	INHERITED	R4.1-CORRECTION-INHERITED
187-R2-I01-016	194	187-R2-I01	P1	Packages/dev.unity2foxglove.sdk/Editor/Manager/FoxgloveManagerEditor.cs::GenerateLocalDevCertificate	OWNER_MANAGER_REAL_UNITY	Unity 6000.3.14f1 editor occupied-port generation	Deterministic occupied-port start-failure harness	python -B I01-016-green.py; I01-016-controls.py	START_FAILURE_DISABLING_SERIALIZED_DISTRIBUTOR=TRUE; I01_016_CONTROLS=PASS	0	RED_REPRODUCED_THEN_FIXED	SATISFIED_BY_ROUND4	Certificate generation/start failure handling changes; rerun I01-016 matrix	build\phase187-round4\r4.1-real-environment-revalidation\i-series\I01-016-transaction\VERIFICATION.txt	fe006387d7cad989252e5b46d926c076db3620b8dd19db63cd5f65b5856f3a24	Plan/187_PHASE187_ROUND2_CLOSURE_REVIEW_REPORTS/187-R2-I01.md	8c5d0240b8890698bbf2ee82ffba8fbfd874fd77ba979fe37ed215e417018e6d	SATISFIED_BY_ROUND4	Inherited/confirmed terminal status retained from historical evidence pending direct audit where required	INHERITED	R4.1-CORRECTION-INHERITED
187-R2-I02-001	195	187-R2-I02	P1	Scripts/unity_build/unity_il2cpp.py::main/start_owned_process POSIX signal cleanup	OWNER_UNITY_BUILD_WSL	WSL Ubuntu POSIX controller	Deterministic POSIX signal/partial-acquisition harness	python -B I02-001-red.py; I02-001-green.py; I02-001-controls.py	POSIX_PARTIAL_ACQUISITION_CLEANUP=TRUE; SIGINT_SIGTERM_HANDLER_INSTALLED=TRUE; I02_001_CONTROLS=PASS	0	RED_REPRODUCED_THEN_FIXED	SATISFIED_BY_ROUND4	Owned process cleanup implementation changes; rerun transaction controls	build\phase187-round4\r4.1-real-environment-revalidation\i-series\I02-001-transaction\VERIFICATION.txt	e4c57850e57ba5af1054a1515fd509044a6f3d0a591f86edad7c1f5288a5dd1e	Plan/187_PHASE187_ROUND2_CLOSURE_REVIEW_REPORTS/187-R2-I02.md	74c13706b234f29dae1156b3d8cc237e2aa2592d40a0339429f41a6f381a65d5	SATISFIED_BY_ROUND4	Inherited/confirmed terminal status retained from historical evidence pending direct audit where required	INHERITED	R4.1-CORRECTION-INHERITED
187-R2-I02-002	196	187-R2-I02	P1	Scripts/unity_build/unity_il2cpp.py@e70f26f6136ecc5bdd5c96e0b0c99503730efca3:82-97; current_primary_sha256=ea3738c6250e107ee3c03c5aa7fbc39cbaf1d589bb60c92cbbd4959ebab6e0b4	HISTORICAL_TERMINAL_EVIDENCE_REUSE	PENDING_ROUTE_BINDING	OPENING_RECONCILIATION_ONLY	NOT_RUN_OPENING_RECONCILIATION	PENDING_CURRENT_CHECK	NOT_RUN	NOT_RUN_CURRENT_REVALIDATION	SATISFIED_BY_ROUND3	rebind current source and verify inherited evidence			Plan/187_PHASE187_ROUND2_CLOSURE_REVIEW_REPORTS/187-R2-I02.md	74c13706b234f29dae1156b3d8cc237e2aa2592d40a0339429f41a6f381a65d5	SATISFIED_BY_ROUND3	Inherited/confirmed terminal status retained from historical evidence pending direct audit where required	INHERITED	R4.1-CORRECTION-INHERITED
187-R2-I02-003	197	187-R2-I02	P1	Scripts/unity_build/unity_il2cpp.py@e70f26f6136ecc5bdd5c96e0b0c99503730efca3:135-255; current_primary_sha256=ea3738c6250e107ee3c03c5aa7fbc39cbaf1d589bb60c92cbbd4959ebab6e0b4	HISTORICAL_TERMINAL_EVIDENCE_REUSE	PENDING_ROUTE_BINDING	OPENING_RECONCILIATION_ONLY	NOT_RUN_OPENING_RECONCILIATION	PENDING_CURRENT_CHECK	NOT_RUN	NOT_RUN_CURRENT_REVALIDATION	SATISFIED_BY_ROUND3	rebind current source and verify inherited evidence			Plan/187_PHASE187_ROUND2_CLOSURE_REVIEW_REPORTS/187-R2-I02.md	74c13706b234f29dae1156b3d8cc237e2aa2592d40a0339429f41a6f381a65d5	SATISFIED_BY_ROUND3	Inherited/confirmed terminal status retained from historical evidence pending direct audit where required	INHERITED	R4.1-CORRECTION-INHERITED
187-R2-I02-004	198	187-R2-I02	P1	Scripts/unity_build/unity_il2cpp.py@e70f26f6136ecc5bdd5c96e0b0c99503730efca3:82-97,266-275; current_primary_sha256=ea3738c6250e107ee3c03c5aa7fbc39cbaf1d589bb60c92cbbd4959ebab6e0b4	HISTORICAL_TERMINAL_EVIDENCE_REUSE	PENDING_ROUTE_BINDING	OPENING_RECONCILIATION_ONLY	NOT_RUN_OPENING_RECONCILIATION	PENDING_CURRENT_CHECK	NOT_RUN	NOT_RUN_CURRENT_REVALIDATION	SATISFIED_BY_ROUND3	rebind current source and verify inherited evidence			Plan/187_PHASE187_ROUND2_CLOSURE_REVIEW_REPORTS/187-R2-I02.md	74c13706b234f29dae1156b3d8cc237e2aa2592d40a0339429f41a6f381a65d5	SATISFIED_BY_ROUND3	Inherited/confirmed terminal status retained from historical evidence pending direct audit where required	INHERITED	R4.1-CORRECTION-INHERITED
